#,Area,Given,When,Then,Environment,Setup Tags,Comparative,Tests
15,Push Click,autoTrackPushEvents: true,The user taps a CIO push notification,An opened metric is tracked and any deep link in the payload is routed,Demo App,APNs,Yes,
16,Push Click,autoTrackPushEvents: true,The user dismisses a CIO push notification without tapping,No opened metric is tracked,Demo App,APNs,Yes,
17,Push Click,A push contains a deep link URL and an explicit deepLinkCallback is registered,The user taps the push,The registered callback is invoked with the URL; the system open path is not used,Demo App,APNs,Yes,
18,Push Click,A push contains an http/https deep link and no callback is registered,The user taps the push,UIApplication.shared.continue(NSUserActivity) is called to trigger universal link handling,Demo App,APNs,Yes,
19,Push Click,A push contains a custom-scheme deep link and no callback is registered,The user taps the push,UIApplication.shared.open(url) is called to route the custom scheme,Demo App,APNs,Yes,
20,Push Click,A push contains no deep link field,The user taps the push,No URL routing occurs; only the opened metric is tracked,Unit Testing,APNs,Yes,nilWhenNoLinkKey()
21,Delivery Tracking,NSE is present and push has mutable-content: 1,Push arrives while app is backgrounded,The NSE fires and records a delivered metric; the App Group file is written before the upload attempt,Integration Testing,"APNs, NSE, App Group, Background",Yes,
22,Delivery Tracking,NSE is present and push has mutable-content: 1,Push arrives while app is force-quit,The NSE fires and records a delivered metric independent of the main app state,Integration Testing,"APNs, NSE, App Group, Force-quit",Yes,
23,Delivery Tracking,NSE is present and push has mutable-content: 1 and app is foregrounded,Push arrives,NSE records delivered; willPresent also calls trackDelivered; backend deduplicates to one metric,Integration Testing,"APNs, NSE, App Group, Foreground",Yes,
24,Delivery Tracking,No NSE target is configured,Push arrives while app is backgrounded,Delivery is not tracked; no callbacks fire until the user taps,Integration Testing,"APNs, No NSE, Background",Yes,
25,Delivery Tracking,No NSE target is configured,Push arrives while app is foregrounded,willPresent fires and a delivered metric is tracked,Demo App,"APNs, No NSE, Foreground",Yes,
26,Delivery Tracking,content-available: 1 push (silent push) arrives,Any app state,The SDK performs no handling; the host app's didReceiveRemoteNotification:fetchCompletionHandler: fires,Unit Testing,APNs,Yes,
27,NSE Delivery Queue,App Group is configured,The NSE processes a CIO push,A delivery record is written atomically: first to delivery-UUID.tmp then renamed to delivery-UUID.json,Integration Testing,"APNs, NSE, App Group",No,writeReturnsFileURLAndCreatesJsonFile(); writeDoesNotLeaveTmpFile()
28,NSE Delivery Queue,A delivery-UUID.json record exists in the App Group queue,The main app calls configure(),The record is decoded enqueued as a Report Delivery Event and the file is deleted immediately after enqueue,Integration Testing,"APNs, NSE, App Group",No,processRecordsCallsHandlerForEachRecord(); processRecordsDeletesJsonFilesAfterProcessing()
29,NSE Delivery Queue,The extension is killed after writing delivery-UUID.tmp but before the rename,The main app calls configure(),The .tmp straggler is deleted and no delivery event is generated for it,Integration Testing,"APNs, NSE, App Group",No,processRecordsDeletesTmpStragglers()
30,NSE Delivery Queue,Multiple delivery records are in the App Group queue,The main app calls configure(),Each record is decoded enqueued and deleted one at a time; a mid-drain crash does not orphan already-deleted records,Integration Testing,"APNs, NSE, App Group",No,processRecordsCallsHandlerForEachRecord(); processRecordsDeletesJsonFilesAfterProcessing(); processRecordsDeletesJsonEvenWhenHandlerThrows()
31,NSE Delivery Queue,No App Group is configured,The NSE processes a CIO push,A background URLSession upload task is created; the OS continues the upload after the extension process exits,Integration Testing,"APNs, NSE, No App Group",No,
32,NSE Delivery Queue,reset() is called,The App Group push-delivery directory exists,The entire io.customer.sdk/push-delivery/ directory is deleted,Integration Testing,"APNs, NSE, App Group",No,wipeRemovesDirectory()
33,NSE Rich Push,A CIO push payload contains a cioImage.url,The NSE fires,The image is downloaded and attached as a UNNotificationAttachment; the notification appears with the image,Demo App,"APNs, NSE",Yes,
34,NSE Rich Push,A CIO push payload contains a cioImage.url,The image download fails or times out,The NSE calls the content handler with the unmodified text content; the notification still appears,Integration Testing,"APNs, NSE",Yes,
35,NSE Rich Push,serviceExtensionTimeWillExpire fires,An image download is in progress,The download is cancelled and the content handler is called immediately with the best content assembled so far,Integration Testing,"APNs, NSE",Yes,
36,Pre-configure Buffering,startConfigure is used and a push click arrives before configure() completes,Configure finishes,The buffered click response is processed in order with its completion handler called; the opened metric is tracked,Integration Testing,APNs,No,
37,Pre-configure Buffering,configure() is used without activateModulesForLaunch and a push click arrives before configure() completes,The push is delivered at cold launch,The buffering registrar is not installed; the click may be lost,Integration Testing,APNs,No,
38,Deduplication,A CIO push triggers both NSE delivery and willPresent delivery in the same session,Both events arrive for the same pushId and deliveryDate,PushHistory records the first event as handled; the second is a no-op and only one delivered metric reaches the backend,Integration Testing,"APNs, NSE, App Group",Yes,firstDisplayReturnsTrue(); secondDisplayReturnsFalse()
39,Deduplication,A 3rd-party SDK forwards a push event back to the CIO SDK after CIO has already handled it,The event arrives for the same pushId and deliveryDate,PushHistory exits early on the second arrival; no duplicate metric is tracked,Integration Testing,APNs,Yes,firstClickReturnsTrue(); secondClickReturnsFalse()
40,Live Activity Guard,A push payload contains aps.event (a Live Activity push with an alert banner),The user taps the banner (didReceive fires),The SDK exits immediately without tracking an opened metric routing a deep link or forwarding to the proxy,Unit Testing,APNs,No,falseWhenNoApsKey(); falseWhenApsHasNoEventKey(); trueWhenApsHasEventKey(); falseWhenApsIsNotAnObject()
41,Live Activity Guard,A push payload contains aps.event,willPresent fires for the alert banner,The SDK exits immediately without tracking a delivered metric; the completion handler is called with an empty presentation options array,Unit Testing,APNs,No,falseWhenNoApsKey(); falseWhenApsHasNoEventKey(); trueWhenApsHasEventKey(); falseWhenApsIsNotAnObject()
42,Non-CIO Push,A push payload does not contain CIO-Delivery-ID,didReceive fires,The push is forwarded to PushEventHandlerProxy but no CIO metric is tracked,Demo App,APNs,Yes,
43,autoTrackPushEvents,autoTrackPushEvents: false,configure() completes,The SDK does not register as UNUserNotificationCenter delegate; the host app must manually forward push events,Demo App,"APNs, Non-default Config",Yes,
44,autoTrackPushEvents,autoTrackPushEvents: false and userNotificationCenter(didReceive:withCompletionHandler:) is forwarded manually,A CIO push is tapped,The SDK handles the CIO push (tracks opened metric routes deep link) and returns true,Demo App,"APNs, Non-default Config",Yes,
45,autoTrackPushEvents,autoTrackPushEvents: false and userNotificationCenter(didReceive:withCompletionHandler:) is forwarded manually,A non-CIO push is tapped,The SDK returns false and does not call the completion handler; the caller must call it,Demo App,"APNs, Non-default Config",Yes,
46,Token Error,APNs token registration fails,didFailToRegisterForRemoteNotifications(withError:) is called,The SDK logs the error at the configured log level; no crash occurs,Demo App,APNs,Yes,
47,App Group Detection,No App Group availability has been recorded in sdk_meta,configure() runs with an accessible App Group,The result is stored in sdk_meta and a device attribute update is uploaded,Integration Testing,"APNs, App Group",No,
48,App Group Detection,sdk_meta records App Group as available,configure() runs and the App Group container is still accessible,No device attribute event is uploaded; the check is a two-boolean comparison only,Integration Testing,"APNs, App Group",No,
49,App Group Detection,sdk_meta records App Group as available,configure() runs and the App Group container is no longer accessible,sdk_meta is updated to false a device attribute event is uploaded and a warning is logged,Integration Testing,"APNs, App Group",No,
50,Reset,A push token is registered and events are in the App Group queue,reset() is called,The push token is cleared from DeviceStore the App Group push-delivery directory is deleted and the Module receives ResetEvent,Demo App,APNs,Yes,
